cell_id,centroid_lat,centroid_lng,mean_probability,max_probability,bucket_count,observed_positive_buckets
2372_18045,40.748058856956455,-73.89690734061841,0.5280512728063343,0.6904349175488497,57,8
2351_18025,40.70360053155547,-73.95978657532146,0.5252267004153542,0.7398994408827961,81,10
2390_18008,40.66422365547635,-73.84505396610753,0.5219070103876019,0.7547031633612482,60,0
2390_18042,40.74078204101721,-73.84373064166955,0.5216911402225946,0.7089213003228099,77,5
2338_18020,40.69268158966884,-73.9984211520869,0.5194530479935799,0.7018313084816683,83,30
2395_18093,40.85546778849892,-73.82690851226313,0.5183844483436739,0.7589742948123132,53,6
2369_18072,40.80894025100437,-73.9047915855431,0.5181132190610477,0.7248076364729268,60,19
2399_18027,40.706736713099474,-73.81768492082098,0.5053350243403376,0.7191437223800112,60,6
2391_18081,40.82856792412151,-73.83924211175321,0.5048243548674283,0.651767671435538,71,10
2399_18042,40.74051202185108,-73.81708701452737,0.5005659909402868,0.6481434362913424,59,10
2315_17980,40.60317597105482,-74.06772079757478,0.49535148217073166,0.6779737460202153,53,10
2399_18026,40.70448501854194,-73.81772474520301,0.4949878737983804,0.723978962632537,89,4
2418_18046,40.74892831758789,-73.76067336922998,0.4883636406472903,0.6934848893595594,62,10
2286_17984,40.61284368717927,-74.15329062652536,0.4863606507042061,0.7093011599772139,41,7
2411_18043,40.74239408248616,-73.781521654192,0.4793539292046659,0.6592349005350937,77,7
2392_18043,40.742974264703896,-73.83777060653829,0.4760664519992387,0.6393912929851614,113,15
2338_18019,40.69042975392799,-73.99845487262257,0.4697325719913702,0.6487343764340596,83,12
2379_18079,40.824416993964405,-73.8748903787015,0.467834897323832,0.6185811159111358,56,5
2350_18022,40.69687173544034,-73.96285026167855,0.46562403307407213,0.6897744908228367,104,8
2359_18040,40.73716149507055,-73.93557761433794,0.464484621335325,0.7188485157394332,64,6
2391_18052,40.76326929064559,-73.8403790403259,0.4606374279776589,0.6924877884895116,55,5
2370_18072,40.80891208011719,-73.90182807543962,0.45979474744119975,0.6674675808351422,63,2
2327_17983,40.60964001683309,-74.03216894667683,0.45905753385946924,0.6684629007990336,70,15
2395_18043,40.7428844789575,-73.82888908465004,0.45559997375047073,0.6138150763426918,86,12
2404_18041,40.73810768554812,-73.8023255476493,0.4494136205693912,0.6592242630076527,68,6
2354_18054,40.76882194652749,-73.94988351012654,0.44909016932288803,0.6965424740460624,68,1
2352_18029,40.7125810296755,-73.95668710946758,0.4384310533060986,0.6533241506478861,57,3
2377_18111,40.89652852992417,-73.87960511114822,0.4382940563363261,0.5694318718849956,52,5
2360_18075,40.81594558651905,-73.93135497137273,0.43488507201008003,0.6099727727426502,79,5
2363_18071,40.80685594226395,-73.92260915670317,0.43146567518354684,0.7027638633800183,44,1
2379_18084,40.83567544966842,-73.87470003800922,0.43060213707796,0.6251162818696713,81,12
2395_18057,40.77440803577303,-73.8283356529301,0.42961597821081277,0.6123596324938408,67,10
2396_18034,40.72258918174789,-73.82628479917604,0.4288551353955406,0.6437533619145654,65,8
