cell_id,target_track,hotspot_score,bucket_count,observed_positive_buckets,top_features,cause_summary,feature_1,feature_1_display_name,feature_1_mean_shap,feature_1_mean_abs_shap,feature_2,feature_2_display_name,feature_2_mean_shap,feature_2_mean_abs_shap,feature_3,feature_3_display_name,feature_3_mean_shap,feature_3_mean_abs_shap
2339_18009,all_crash,0.9509688517894737,95,59,"historic_cell_crash_total, is_night, rolling_recent_crash_count","High predicted risk is mainly driven by long-run cell crash volume, nighttime conditions, and recent crash recurrence.",historic_cell_crash_total,long-run cell crash volume,0.21205845177347865,0.21205845177347865,is_night,nighttime conditions,0.1110597477949991,0.13010374802124666,rolling_recent_crash_count,recent crash recurrence,0.05510141216167977,0.05758691022888693
2379_18084,all_crash,0.9502756916049383,81,51,"historic_cell_crash_total, is_night, rolling_recent_crash_count","High predicted risk is mainly driven by long-run cell crash volume, nighttime conditions, and recent crash recurrence.",historic_cell_crash_total,long-run cell crash volume,0.22175196967386562,0.22175196967386562,is_night,nighttime conditions,0.08463861140333628,0.10501677747111146,rolling_recent_crash_count,recent crash recurrence,0.05707340870878897,0.05811628202615345
2391_18042,all_crash,0.9460440152173913,115,68,"historic_cell_crash_total, is_night, rolling_recent_crash_count","High predicted risk is mainly driven by long-run cell crash volume, nighttime conditions, and recent crash recurrence.",historic_cell_crash_total,long-run cell crash volume,0.23922794875113862,0.23922794875113862,is_night,nighttime conditions,0.07830947145854575,0.09794341048614912,rolling_recent_crash_count,recent crash recurrence,0.05666541521207482,0.06077618433906072
2336_18014,all_crash,0.9439825895,80,49,"historic_cell_crash_total, is_night, rolling_recent_crash_count","High predicted risk is mainly driven by long-run cell crash volume, nighttime conditions, and recent crash recurrence.",historic_cell_crash_total,long-run cell crash volume,0.21254024807744681,0.21254024807744681,is_night,nighttime conditions,0.10523795093193833,0.1254430914075991,rolling_recent_crash_count,recent crash recurrence,0.052507235728252014,0.054290369942701144
2370_18035,all_crash,0.9424990186666667,105,68,"historic_cell_crash_total, is_night, rolling_recent_crash_count","High predicted risk is mainly driven by long-run cell crash volume, nighttime conditions, and recent crash recurrence.",historic_cell_crash_total,long-run cell crash volume,0.21731288136692503,0.21731288136692503,is_night,nighttime conditions,0.1265003756388503,0.14620047642398168,rolling_recent_crash_count,recent crash recurrence,0.04959452093961705,0.05013897536706243
2341_18024,all_crash,0.939907135483871,93,51,"historic_cell_crash_total, is_night, rolling_recent_crash_count","High predicted risk is mainly driven by long-run cell crash volume, nighttime conditions, and recent crash recurrence.",historic_cell_crash_total,long-run cell crash volume,0.20708800753128248,0.20708800753128248,is_night,nighttime conditions,0.09845412990386165,0.11949552602492623,rolling_recent_crash_count,recent crash recurrence,0.051008338250751635,0.05333779121379784
2369_18088,all_crash,0.938559336701031,97,53,"historic_cell_crash_total, is_night, rolling_recent_crash_count","High predicted risk is mainly driven by long-run cell crash volume, nighttime conditions, and recent crash recurrence.",historic_cell_crash_total,long-run cell crash volume,0.1906248156527576,0.1906248156527576,is_night,nighttime conditions,0.09090039992392515,0.11442765626052295,rolling_recent_crash_count,recent crash recurrence,0.04290966403605878,0.04484352093056122
2364_18088,all_crash,0.9351012334939759,83,49,"historic_cell_crash_total, is_night, rolling_recent_crash_count","High predicted risk is mainly driven by long-run cell crash volume, nighttime conditions, and recent crash recurrence.",historic_cell_crash_total,long-run cell crash volume,0.20381788623107036,0.20381788623107036,is_night,nighttime conditions,0.1594378917454496,0.17823108809094937,rolling_recent_crash_count,recent crash recurrence,0.05223709138943664,0.05425704850298758
2361_18068,all_crash,0.9333070764071857,167,124,"historic_cell_crash_total, is_night, rolling_recent_crash_count","High predicted risk is mainly driven by long-run cell crash volume, nighttime conditions, and recent crash recurrence.",historic_cell_crash_total,long-run cell crash volume,0.21761672847707583,0.21761672847707583,is_night,nighttime conditions,0.07932658078866399,0.09993086876808585,rolling_recent_crash_count,recent crash recurrence,0.06749711632989173,0.0688810625578553
2401_18021,all_crash,0.9330979490769231,65,30,"historic_cell_crash_total, is_night, prior_cell_crash_count","High predicted risk is mainly driven by long-run cell crash volume, nighttime conditions, and prior crash history.",historic_cell_crash_total,long-run cell crash volume,0.21374724350184318,0.21374724350184318,is_night,nighttime conditions,0.10031934538453273,0.12153610806452544,prior_cell_crash_count,prior crash history,0.046373899568265924,0.046373899568265924
2392_18043,all_crash,0.9330298266371682,113,80,"historic_cell_crash_total, is_night, rolling_recent_crash_count","High predicted risk is mainly driven by long-run cell crash volume, nighttime conditions, and recent crash recurrence.",historic_cell_crash_total,long-run cell crash volume,0.21860092420693808,0.21860092420693808,is_night,nighttime conditions,0.07089042249042529,0.09231164245018524,rolling_recent_crash_count,recent crash recurrence,0.05884873205525488,0.05892514222280479
2424_18048,all_crash,0.93284005,77,42,"historic_cell_crash_total, is_night, rolling_recent_crash_count","High predicted risk is mainly driven by long-run cell crash volume, nighttime conditions, and recent crash recurrence.",historic_cell_crash_total,long-run cell crash volume,0.22986584988311917,0.22986584988311917,is_night,nighttime conditions,0.08839853279701645,0.10843630936941898,rolling_recent_crash_count,recent crash recurrence,0.06628391110314419,0.06777171651581475
2364_18070,all_crash,0.930787084520548,73,40,"historic_cell_crash_total, is_night, rolling_recent_crash_count","High predicted risk is mainly driven by long-run cell crash volume, nighttime conditions, and recent crash recurrence.",historic_cell_crash_total,long-run cell crash volume,0.21932505790802287,0.21932505790802287,is_night,nighttime conditions,0.07579181369925697,0.098440053868829,rolling_recent_crash_count,recent crash recurrence,0.04790580828155691,0.04916017095319661
2339_18008,all_crash,0.9290775939759035,83,54,"historic_cell_crash_total, is_night, rolling_recent_crash_count","High predicted risk is mainly driven by long-run cell crash volume, nighttime conditions, and recent crash recurrence.",historic_cell_crash_total,long-run cell crash volume,0.2148909329891332,0.2148909329891332,is_night,nighttime conditions,0.07529511929136408,0.09755817815243159,rolling_recent_crash_count,recent crash recurrence,0.054552542819179,0.05497634987870066
2338_18019,all_crash,0.9261270125301204,83,34,"historic_cell_crash_total, is_night, rolling_recent_crash_count","High predicted risk is mainly driven by long-run cell crash volume, nighttime conditions, and recent crash recurrence.",historic_cell_crash_total,long-run cell crash volume,0.20615189442971973,0.20615189442971973,is_night,nighttime conditions,0.08144599565578807,0.10431456216148459,rolling_recent_crash_count,recent crash recurrence,0.0416335101116636,0.0455709904304988
2356_18032,all_crash,0.9233689704597702,87,44,"historic_cell_crash_total, is_night, prior_cell_crash_count","High predicted risk is mainly driven by long-run cell crash volume, nighttime conditions, and prior crash history.",historic_cell_crash_total,long-run cell crash volume,0.18496898894870714,0.18496898894870714,is_night,nighttime conditions,0.0906395957072314,0.11349896189498188,prior_cell_crash_count,prior crash history,0.04043223084220111,0.04043223084220111
2359_18089,all_crash,0.923174004375,128,92,"historic_cell_crash_total, is_night, rolling_recent_crash_count","High predicted risk is mainly driven by long-run cell crash volume, nighttime conditions, and recent crash recurrence.",historic_cell_crash_total,long-run cell crash volume,0.21181739196699373,0.21181739196699373,is_night,nighttime conditions,0.11191316350003408,0.13109648378901698,rolling_recent_crash_count,recent crash recurrence,0.07220809629460843,0.07272016294975794
2405_18009,all_crash,0.921270575,118,87,"historic_cell_crash_total, is_night, rolling_recent_crash_count","High predicted risk is mainly driven by long-run cell crash volume, nighttime conditions, and recent crash recurrence.",historic_cell_crash_total,long-run cell crash volume,0.2036792080607448,0.2036792080607448,is_night,nighttime conditions,0.10979947411157517,0.13046472453448107,rolling_recent_crash_count,recent crash recurrence,0.05218854898055168,0.05244133688496733
