cell_id,centroid_lat,centroid_lng,mean_probability,max_probability,bucket_count,observed_positive_buckets
2409_18009,40.66589963823567,-73.78883033640602,0.8960671256818181,0.9994486,88,65
2411_18043,40.74239408248616,-73.781521654192,0.8956300605194806,0.99933606,77,34
2351_18025,40.70360053155547,-73.95978657532146,0.895148685308642,0.9987947,81,44
2357_18061,40.78450307727621,-73.94074785111376,0.895128226744186,0.9995128,86,43
2387_18082,40.830938300135365,-73.85106055278537,0.8925354440540542,0.99933356,74,43
2350_18023,40.69912354370644,-73.9628153345867,0.8924593349514562,0.9992987,103,56
2371_18042,40.74133188843776,-73.89997946180863,0.8906077154081633,0.9981652,98,45
2363_18088,40.84513533015653,-73.92198940531593,0.8905820176712328,0.9994535,73,33
2356_18059,40.780026712165466,-73.94378166501139,0.8905035165384615,0.99876875,104,69
2350_18022,40.69687173544034,-73.96285026167855,0.8851966575,0.99899715,104,58
2326_17983,40.60966474079609,-74.03512375704831,0.8835134759139786,0.9990213,93,57
2360_18081,40.82945600606748,-73.93113807653818,0.8827022707526883,0.9988745,93,46
2358_18034,40.72367809113715,-73.93875266548679,0.8804845478409091,0.99950564,88,60
2382_18083,40.83333666089464,-73.86584441848305,0.8788640640000001,0.9982085,70,27
2356_18060,40.78227847416571,-73.9437459914558,0.8786055876041666,0.98870987,96,57
2371_18048,40.75484234285585,-73.89975678585068,0.8784649013888889,0.99927896,72,33
2362_18089,40.84741472596893,-73.92491815546265,0.8773071178205128,0.9995388,78,38
2370_18041,40.73910832079731,-73.90297696683282,0.8772684715000001,0.99934775,80,33
2369_18054,40.768409102307096,-73.9054573734452,0.8764694015,0.99706596,80,42
2338_18018,40.68817791728285,-73.99848858934688,0.8762214432432434,0.9992415,74,42
2364_18038,40.73252050573244,-73.92084867011408,0.8760548115068494,0.99864906,73,29
2372_18045,40.748058856956455,-73.89690734061841,0.8755494673684211,0.998336,57,25
2376_18078,40.82225167999472,-73.88382066550795,0.8737951776271187,0.9990513,59,31
2397_18064,40.790109410373205,-73.8221334196117,0.8734267513924051,0.9995048,79,31
2352_18050,40.75986859125755,-73.95594803851458,0.8731584387654321,0.99928766,81,43
2395_18043,40.7428844789575,-73.82888908465004,0.8731428746511627,0.99894613,86,42
2380_18084,40.83564649039326,-73.87173536799638,0.872528022112676,0.9973908,71,36
2380_18093,40.85591163268862,-73.87139158039932,0.871997356516854,0.99901795,89,54
2392_18079,40.824034733249306,-73.83635652415411,0.8703388278494624,0.9985782,93,61
2360_18069,40.8024351342786,-73.93157171903661,0.8699932808571429,0.9995121,70,36
2388_18041,40.73858950340061,-73.84969029087421,0.8697626117105264,0.9995828,76,29
2361_18087,40.84293887438106,-73.92795598359885,0.8696910610126583,0.99909747,79,32
2360_18089,40.84746984793939,-73.93084865429722,0.8694106202941176,0.99925524,68,32
2400_18024,40.69995128815606,-73.81484579412088,0.8688183691891891,0.9981589,74,40
2372_18088,40.84488284335574,-73.8953033062348,0.8673914494642857,0.99898785,56,19
2293_17982,40.60818627607959,-74.13266360300858,0.8659018854385965,0.99939513,57,18
2395_18031,40.71586414497792,-73.82936275792036,0.8648707584251969,0.9994018,127,86
2364_18039,40.73477226949111,-73.92081228305089,0.8640826894505494,0.9991085,91,57
2382_18084,40.83558834333967,-73.8658060409409,0.862751975,0.99946505,68,37
2332_17999,40.64554523998283,-74.01686668379455,0.8609086817045455,0.99856144,88,43
2372_18106,40.88541331484855,-73.89462952960803,0.8603368713461539,0.99911374,52,16
2385_18040,40.73642596621209,-73.85860979729985,0.859687311025641,0.99772805,78,40
2354_18054,40.76882194652749,-73.94988351012654,0.8595371486764707,0.99895465,68,34
2430_18020,40.68999939956468,-73.72626191286693,0.8578479539583334,0.9988397,96,66
2387_18040,40.73636726173466,-73.85268931531012,0.856944195064935,0.99942434,77,35
2403_18017,40.68409798481423,-73.80625143101395,0.8561854783561643,0.99931467,73,34
2360_18079,40.8249525365173,-73.93121039117567,0.8552150975714286,0.9993154,70,27
2391_18081,40.82856792412151,-73.83924211175321,0.8537488035211267,0.9994562,71,33
2399_18027,40.706736713099474,-73.81768492082098,0.8529150391666668,0.999141,60,23
2364_18093,40.856366163422784,-73.91884125797458,0.8495193161666666,0.99877006,60,18
2390_18042,40.74078204101721,-73.84373064166955,0.8492849476623375,0.9993026,77,43
2417_18045,40.746708442516,-73.76367577263792,0.8480108452941176,0.9974776,68,23
2404_18041,40.73810768554812,-73.8023255476493,0.8474275802941176,0.9988877,68,29
2369_18102,40.87649151069992,-73.90367892183203,0.84646390625,0.9984654,40,13
2362_18071,40.80688357826848,-73.92557259575081,0.8461439175000001,0.9993926,68,33
2363_18039,40.73479991167318,-73.92377251958438,0.845820727654321,0.999084,81,39
2347_18043,40.74423905467824,-73.97099805118694,0.8441235315463917,0.9994197,97,41
2348_18045,40.748716204589634,-73.96796772630292,0.843937255952381,0.99922514,84,44
2376_18036,40.72767942893719,-73.8854025085975,0.8431476209375,0.99913543,64,33
2382_18038,40.73201000767371,-73.8675669226412,0.842803334,0.9986872,70,31
2348_18044,40.74646441206532,-73.96800254069852,0.8425325015189873,0.99872833,79,41
2365_18088,40.845079755351314,-73.91605913188181,0.8422037267213115,0.9993368,61,27
2365_18095,40.8608417492135,-73.91580218837085,0.8411694792207792,0.9992275,77,41
2323_17982,40.60748656035904,-74.04402030265234,0.840337101111111,0.998428,72,38
2398_18028,40.70901867903336,-73.82060408119345,0.83992936359375,0.99927276,64,27
2337_18013,40.67694433644485,-74.00161486482966,0.8391161145121951,0.9992337,82,36
2365_18055,40.7707726129844,-73.917267699969,0.8383615011267606,0.999469,71,31
2374_18108,40.88985964610647,-73.88862036551548,0.8381110008955224,0.99911696,67,27
2412_18010,40.66805791046982,-73.77991816484194,0.8377308238095238,0.9995567,84,48
2337_18005,40.65892955838198,-74.00188351360748,0.8373875375324675,0.9992132,77,39
2392_18081,40.82853805792488,-73.8362777950608,0.8367019531481481,0.9991441,54,19
2368_18071,40.806716620820815,-73.90779202349057,0.8356146353658537,0.99745494,82,42
2403_18041,40.73813836844287,-73.80528581033163,0.8352264952439025,0.99927694,82,41
2355_18055,40.77104672421245,-73.9468861857542,0.8349866257142857,0.99927217,63,33
2395_18093,40.85546778849892,-73.82690851226313,0.8333401898113207,0.9989649,53,15
2396_18085,40.837424432120685,-73.82426145730815,0.8333209175,0.9991941,64,31
2359_18034,40.72365083923539,-73.93579290726869,0.8321966187209302,0.99590623,86,49
2352_18027,40.70807743153407,-73.9567574057027,0.8300106561904761,0.9995735,84,44
2365_18038,40.732492789836,-73.91788853745793,0.8290431376470588,0.9993253,68,29
2357_18033,40.72145348371794,-73.94174809628723,0.8290110933333334,0.9994312,78,43
2346_18032,40.71949558142735,-73.97433921579449,0.8284871671153845,0.9993808,52,20
2345_18030,40.71501822080079,-73.97736775075143,0.8281278547945206,0.99895096,73,35
2402_18009,40.66611493636644,-73.80952980326332,0.8273899871794871,0.99947184,78,41
2413_18043,40.74233141649072,-73.77560080807562,0.8269528926984128,0.9993247,63,27
2367_18070,40.80449290920592,-73.91079226118143,0.8262160326829268,0.9993919,82,39
2378_18079,40.8244458656768,-73.87785455181478,0.8259263417808219,0.998922,73,26
2338_18027,40.708444414533815,-73.99818500157788,0.8253902066129032,0.99933976,62,24
2392_18035,40.72496066662768,-73.8380840660502,0.8243217108695653,0.99947876,69,37
2399_18042,40.74051202185108,-73.81708701452737,0.8235021654237288,0.9982205,59,16
2367_18088,40.84502387575961,-73.91012887505427,0.8228606822641509,0.99956876,53,25
2391_18037,40.72949383426496,-73.840965645335,0.8227284763953489,0.9992976,86,47
2423_18048,40.753271621738826,-73.74578533145439,0.8220407564788732,0.99933076,71,35
2373_18044,40.74577877984884,-73.89398385294476,0.8213822603278688,0.99927217,61,34
2379_18082,40.8311720701199,-73.87477618720706,0.8210821061290323,0.99939144,62,23
2317_17979,40.60087620861405,-74.06184318295035,0.8206025854945055,0.9990182,91,50
2402_18041,40.73816897543531,-73.80824607756914,0.8205438340540541,0.99860567,74,34
2360_18035,40.72587528754232,-73.93279718137174,0.8198574138709677,0.9974712,62,34
2406_18041,40.73804609205308,-73.79640503599528,0.8196033148888888,0.9989373,90,53
2352_18028,40.71032923105794,-73.95672225957186,0.8194945645833333,0.998509,72,40
2332_17980,40.60275961698722,-74.01749389376752,0.8184192462295081,0.99932563,61,20
2340_18008,40.66560806225126,-73.99291105508698,0.81762605975,0.99866045,80,33
2392_18036,40.72721236958066,-73.8380448991143,0.817230535967742,0.99912435,62,25
2389_18081,40.828627428075656,-73.84517075845456,0.8171947725352113,0.9993507,71,34
2380_18103,40.8784283708836,-73.8710091833251,0.8171341349295774,0.9995115,71,28
2378_18037,40.72987384322209,-73.87944497183953,0.8165962646031747,0.9991429,63,24
2346_18040,40.73751001655835,-73.97406256406965,0.8157290948529412,0.9993906,68,31
2368_18101,40.8742679743891,-73.90668249460909,0.815672392375,0.9994936,80,28
2351_18050,40.75989534580775,-73.95890942175234,0.8140554674193549,0.99851567,62,24
2371_18049,40.757094082076215,-73.89971965850079,0.8140011395081967,0.9988438,61,32
2354_18082,40.83187118616893,-73.94888929497817,0.8138795060416667,0.998538,48,20
2353_18030,40.71480603920064,-73.95369257185958,0.8136688445121951,0.99885464,82,42
2390_18038,40.73177522684874,-73.84388659101889,0.8128934755714285,0.9991922,70,26
2398_18042,40.74054232762362,-73.82004739965087,0.8127116491463415,0.99745375,82,40
2384_18083,40.83327821378467,-73.85991530932016,0.8126842267857144,0.9991197,84,34
2370_18072,40.80891208011719,-73.90182807543962,0.8122698341269842,0.99902093,63,25
2399_18107,40.88686931716536,-73.8144843344105,0.8100592935,0.9991364,60,26
2359_18071,40.80696602970839,-73.93446293750013,0.8097766395454545,0.99919826,66,26
